date,BTC,ETH,SOL
2025-02-20,,,
2025-02-21,,,
2025-02-22,,,
2025-02-23,,,
2025-02-24,,,
2025-02-25,,,
2025-02-26,,,
2025-02-27,,,
2025-02-28,,,
2025-03-01,,,
2025-03-02,,,
2025-03-03,,,
2025-03-04,,,
2025-03-05,,,
2025-03-06,,,
2025-03-07,,,
2025-03-08,,,
2025-03-09,,,
2025-03-10,,,
2025-03-11,,,
2025-03-12,,,
2025-03-13,,,
2025-03-14,,,
2025-03-15,,,
2025-03-16,,,
2025-03-17,,,
2025-03-18,,,
2025-03-19,,,
2025-03-20,,,
2025-03-21,59.862579050761255,87.21426687258494,125.07682930697348
2025-03-22,59.69070751852777,86.84728678403974,125.10573275049994
2025-03-23,59.28246932652592,86.80415379982045,124.31109544810535
2025-03-24,59.60784892823613,86.81024718089628,124.46846188750493
2025-03-25,59.89295813389545,86.73870813674102,125.91386418267119
2025-03-26,59.91424907301768,86.22553714098686,126.10007197630205
2025-03-27,58.076223891988235,79.76229321849395,116.30119337110646
2025-03-28,57.49127169077162,79.76156121754222,116.13543259876755
2025-03-29,55.92931549551158,78.80476207431649,115.99649582627136
2025-03-30,56.157301273746995,79.26750272286166,116.28353504286639
2025-03-31,56.160459975698494,78.98314278971802,113.96495094867196
2025-04-01,55.874052545040456,79.13934380823801,113.69653393313229
2025-04-02,49.588746779758154,69.82280381988902,92.58268453511326
2025-04-03,43.1936947228893,55.99267886697348,70.08348108187808
2025-04-04,43.046514809468626,56.0383996522331,69.71363890530199
2025-04-05,41.584420325714646,54.913164917372356,71.28863141115265
2025-04-06,41.56670058902753,54.83551394177051,71.32457340828043
2025-04-07,44.514798760303,66.78924437233022,79.35257162214108
2025-04-08,44.72995077083801,65.83422264929459,79.5035435699313
2025-04-09,42.0227273046029,63.33358611711971,76.743573087739
2025-04-10,47.55088735366934,71.52273394963991,82.98606643555806
2025-04-11,46.57663008945064,74.96048536565907,82.68111029411385
2025-04-12,48.50016215870803,75.69610193151,85.52680290373671
2025-04-13,47.83671816470692,77.11042777538147,88.71878989026824
2025-04-14,47.17829963819583,76.97068194937063,86.00874607633723
2025-04-15,47.2667631302475,76.99793747315763,85.89476114099523
2025-04-16,46.94032706794724,76.87091284015625,83.43958950888596
2025-04-17,46.68515322339298,76.42844241387044,84.12120402824954
2025-04-18,46.52882232227951,76.44752257123065,84.05464212246989
2025-04-19,44.392833674065116,73.53839840385923,80.88069010242349
2025-04-20,43.6070237036302,73.27758689474457,79.69432660948043
2025-04-21,43.59593974107818,73.35519401473535,79.8533720835258
2025-04-22,44.28645622158643,73.2254230480199,79.92699158796651
2025-04-23,47.90326749707987,80.5740001750208,83.38611516946128
2025-04-24,47.69840193867162,79.91840178790792,81.62046859901821
2025-04-25,47.6986424452378,79.95972670440541,81.39890994367721
