date,BTC,ETH,SOL
2025-02-19,95495.89153299287,2669.4945006896073,169.10718217289786
2025-02-20,96554.87156259285,2714.8018364720533,169.26443436615673
2025-02-21,98384.31738240314,2741.5933625994785,176.02074183930708
2025-02-22,96135.15541305285,2658.3470942919384,169.00123201382314
2025-02-23,96564.15414290235,2764.355233404291,172.21280391506767
2025-02-24,96327.46309127835,2827.1844084879804,168.09302650361454
2025-02-25,91396.76686930266,2503.103420098605,141.16593031186233
2025-02-26,88755.7693356979,2495.315451693047,144.3563354963687
2025-02-27,83900.11496524839,2325.853934699374,134.6628545613439
2025-02-28,84709.14477847965,2305.3229378029837,137.60648163669737
2025-03-01,84441.9012237131,2235.204208608959,148.17466304440643
2025-03-02,86005.25629681018,2212.8243514969954,143.4002225931321
2025-03-03,94261.53286538439,2517.3382391622977,178.17413183106032
2025-03-04,86124.71418722175,2148.199533470228,142.5141267061424
2025-03-05,87310.80531078295,2171.496943535016,145.06190940041165
2025-03-06,90604.08098523637,2241.3841149187283,146.1815871653316
2025-03-07,90001.40087607042,2202.3207363495417,143.45134750836067
2025-03-08,86773.33597555371,2140.7498089428914,139.1826626278542
2025-03-09,86142.9833586432,2199.9995000805707,136.88210638232243
2025-03-10,80751.13893300897,2017.265460184326,126.63426805755283
2025-03-11,78783.94057934263,1879.1231054991026,118.78644366084116
2025-03-12,82799.1080292053,1921.3099227587034,125.4287680235315
2025-03-13,83884.24578828987,1910.6551381032464,126.56536487567297
2025-03-14,81098.90052436228,1862.7949366490388,123.23770752728635
2025-03-15,83971.70916064628,1910.6662703455045,133.5545345544276
2025-03-16,84391.69087647168,1939.7856881721348,135.83808085318316
2025-03-17,82610.61750343916,1887.7643429692785,126.16514527624146
2025-03-18,84075.36559694471,1929.1833577618722,128.27980954134415
2025-03-19,82780.03048688271,1932.7964059050657,125.34406014353017
2025-03-20,86815.44109470697,2060.728601068271,135.62276169425357
2025-03-21,84270.84358966233,1980.831780524645,127.67626424914864
2025-03-22,84009.532917822,1964.5293833168294,128.23973822410704
2025-03-23,83793.30854192551,1979.5449257665966,128.39187391771924
2025-03-24,85787.70914901773,2001.0470230951883,132.10106868785385
2025-03-25,87327.72969669085,2077.739325831977,140.57936877383233
2025-03-26,87520.58391530563,2068.598435049149,143.93305133739045
2025-03-27,86960.8555491039,2009.8835432902426,137.09334253160864
2025-03-28,87227.27158032371,2003.3034241292064,138.37897933357002
2025-03-29,84359.46915506005,1896.9173600459985,129.44621681849003
2025-03-30,82679.17255385047,1829.2745211803463,124.50189658068513
2025-03-31,82356.38111183756,1805.3378779435934,124.5806499329744
2025-04-01,82514.09365397849,1824.2071367609847,124.86617842858315
2025-04-02,85237.5876052852,1907.1671522994227,126.80693682115113
2025-04-03,82526.4221526433,1795.761850567479,118.08550586157003
2025-04-04,83163.98757387721,1818.2844199542053,117.1929518844708
2025-04-05,83852.00765399594,1814.4807753449506,122.71307466195722
2025-04-06,83595.88550177493,1809.935827172196,120.16838205477265
2025-04-07,78211.48358199988,1574.6321611455576,105.76515013740064
2025-04-08,79179.29226757778,1555.909812570873,106.7967654056102
2025-04-09,76329.090356324,1471.3608854365523,105.48654682895575
2025-04-10,82622.17029546302,1662.5331604641576,118.96288063114291
2025-04-11,79596.35732250768,1523.928624242526,112.88616853404648
2025-04-12,83439.28818043756,1568.131690125936,121.39249540173658
2025-04-13,85305.09728392666,1645.8625733156498,132.15438529607428
2025-04-14,83600.82010054543,1595.4227460001084,128.2347432835372
2025-04-15,84523.4524914945,1621.543195596693,129.42181202590046
2025-04-16,83656.49248858042,1587.8222244021401,126.3038818388089
2025-04-17,84105.77942167096,1577.7073516760117,131.4761427933663
2025-04-18,84930.90857600998,1583.4764497002345,134.6151648808524
2025-04-19,84433.75017215389,1589.1516208270755,133.9760882871713
2025-04-20,85126.66244301842,1615.0502549158562,139.64248014652355
2025-04-21,85073.16544858096,1585.4600253443446,137.6315829179827
2025-04-22,87452.04699068287,1577.4465595922347,136.3303974884886
2025-04-23,93576.16588573981,1759.7064599311093,148.80397504642707
2025-04-24,93605.45230873208,1793.969849485534,150.9999108899842
2025-04-25,93872.81422867288,1769.3925107354407,152.3299363576059
2025-04-26,94773.11200643536,1788.7981804331257,150.92008896105446
2025-04-27,94644.06637120107,1821.2695303291391,149.14633083954075
2025-04-28,93809.33781968223,1793.6918440730135,148.2466719511348
2025-04-29,95030.60645474444,1799.50191449199,147.99083303267335
2025-04-30,94256.35946318062,1796.9720456768928,146.49305755147196
2025-05-01,94235.75331048167,1794.0495408617828,147.73348327834748
2025-05-02,96426.94522273027,1838.8543285925753,150.76046702861854
2025-05-03,96855.5681343944,1841.427590836958,147.97213909446802
2025-05-04,95922.86842404422,1834.501911876416,146.79754814764868
2025-05-05,94326.62048529249,1808.156093844096,143.9823040324787
2025-05-06,94758.8237105546,1820.0044598893596,146.81070557078957
2025-05-07,96854.53198815876,1816.1686943818438,146.90938773866714
