,Daily Volatility,Annualized Volatility (%),Sharpe Ratio,Beta (vs BTC),VaR 95% (%)
BTC,0.024267351175942486,38.523225713888806,-0.039446651609470716,1.0000000000000002,-3.7922803649148835
ETH,0.04088389901878497,64.9011776582296,-0.019911623970596693,1.4316806060682437,-6.440252436604584
SOL,0.04476949929727778,71.06937687688678,-0.04388328981566035,1.544389866331151,-6.614041899748009
